#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430947e+22 5.20698711622230e+21 5.20698711622230e+21 9.35128025532506e+21 9.35128025532506e+21
7 1.13975997664972e-14 6.00000800000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99332200000000e+06 2.99333200000000e+06 2.91243073448317e+22 5.21089216130721e+21 5.21089216130721e+21 9.35124589092831e+21 9.35127713128899e+21
14 2.27951995329944e-14 5.99999700000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99331200000000e+06 2.99333100000000e+06 2.91242729804350e+22 5.21089216130721e+21 5.21089216130721e+21 9.35121465056763e+21 9.35127400725293e+21
21 3.41927992994916e-14 6.00003000000000e+06 6.69700000000000e+03 6.69700000000000e+03 2.99330500000000e+06 2.99333100000000e+06 2.91398712925222e+22 5.21870225147704e+21 5.21870225147704e+21 9.35119278231516e+21 9.35127400725293e+21
28 4.55903990659888e-14 6.00002600000000e+06 6.69700000000000e+03 6.69700000000000e+03 2.99330300000000e+06 2.99332900000000e+06 2.91398587963779e+22 5.21870225147704e+21 5.21870225147703e+21 9.35118653424302e+21 9.35126775918079e+21
35 5.69879988324860e-14 6.00002200000000e+06 6.69700000000000e+03 6.69700000000000e+03 2.99330000000000e+06 2.99332800000000e+06 2.91398463002336e+22 5.21870225147703e+21 5.21870225147704e+21 9.35117716213482e+21 9.35126463514472e+21
42 6.83855985989831e-14 6.00006400000000e+06 6.72000000000000e+03 6.72000000000000e+03 2.99329700000000e+06 2.99332700000000e+06 2.91577970114799e+22 5.22768385517233e+21 5.22768385517233e+21 9.35116779002662e+21 9.35126151110865e+21
49 7.97831983654803e-14 6.00006200000000e+06 6.72000000000000e+03 6.72000000000000e+03 2.99329500000000e+06 2.99332700000000e+06 2.91577907634078e+22 5.22768385517233e+21 5.22768385517233e+21 9.35116154195448e+21 9.35126151110865e+21
56 9.11807981319774e-14 6.00005900000000e+06 6.72000000000000e+03 6.72000000000000e+03 2.99329300000000e+06 2.99332600000000e+06 2.91577813912996e+22 5.22768385517233e+21 5.22768385517233e+21 9.35115529388234e+21 9.35125838707259e+21
63 1.02578397898475e-13 6.00010200000000e+06 6.74300000000000e+03 6.74300000000000e+03 2.99329200000000e+06 2.99332400000000e+06 2.91757352265820e+22 5.23666545886763e+21 5.23666545886763e+21 9.35115216984628e+21 9.35125213900045e+21
70 1.13975997664972e-13 6.00009900000000e+06 6.74300000000000e+03 6.74300000000000e+03 2.99329200000000e+06 2.99332100000000e+06 2.91757258544738e+22 5.23666545886763e+21 5.23666545886763e+21 9.35115216984628e+21 9.35124276689225e+21
77 1.25373597431469e-13 6.00009500000000e+06 6.74300000000000e+03 6.74300000000000e+03 2.99329100000000e+06 2.99331800000000e+06 2.91757133583295e+22 5.23666545886763e+21 5.23666545886763e+21 9.35114904581021e+21 9.35123339478404e+21
84 1.36771197197966e-13 6.00015600000000e+06 6.77500000000000e+03 6.77500000000000e+03 2.99329000000000e+06 2.99331600000000e+06 2.92006962747648e+22 5.24916160313935e+21 5.24916160313935e+21 9.35114592177414e+21 9.35122714671191e+21
91 1.48168796964463e-13 6.00015400000000e+06 6.77500000000000e+03 6.77500000000000e+03 2.99328900000000e+06 2.99331500000000e+06 2.92006900266926e+22 5.24916160313935e+21 5.24916160313935e+21 9.35114279773807e+21 9.35122402267584e+21
98 1.59566396730960e-13 6.00015100000000e+06 6.77500000000000e+03 6.77500000000000e+03 2.99328700000000e+06 2.99331400000000e+06 2.92006806545844e+22 5.24916160313935e+21 5.24916160313935e+21 9.35113654966594e+21 9.35122089863977e+21
105 1.70963996497458e-13 6.00019400000000e+06 6.79700000000000e+03 6.79700000000000e+03 2.99328600000000e+06 2.99331400000000e+06 2.92178597289220e+22 5.25775270232616e+21 5.25775270232616e+21 9.35113342562987e+21 9.35122089863977e+21
112 1.82361596263955e-13 6.00019000000000e+06 6.79700000000000e+03 6.79700000000000e+03 2.99328500000000e+06 2.99331100000000e+06 2.92178472327777e+22 5.25775270232616e+21 5.25775270232616e+21 9.35113030159380e+21 9.35121152653157e+21
119 1.93759196030452e-13 6.00018700000000e+06 6.79700000000000e+03 6.79700000000000e+03 2.99328300000000e+06 2.99331000000000e+06 2.92178378606695e+22 5.25775270232616e+21 5.25775270232616e+21 9.35112405352167e+21 9.35120840249550e+21
126 2.05156795796949e-13 6.00022900000000e+06 6.82000000000000e+03 6.82000000000000e+03 2.99328200000000e+06 2.99330700000000e+06 2.92357885719158e+22 5.26673430602146e+21 5.26673430602146e+21 9.35112092948560e+21 9.35119903038730e+21
133 2.16554395563446e-13 6.00022500000000e+06 6.82000000000000e+03 6.82000000000000e+03 2.99328000000000e+06 2.99330500000000e+06 2.92357760757715e+22 5.26673430602146e+21 5.26673430602146e+21 9.35111468141346e+21 9.35119278231516e+21
140 2.27951995329943e-13 6.00022300000000e+06 6.82000000000000e+03 6.82000000000000e+03 2.99327900000000e+06 2.99330400000000e+06 2.92357698276994e+22 5.26673430602146e+21 5.26673430602146e+21 9.35111155737739e+21 9.35118965827909e+21
147 2.39349595096441e-13 6.00027300000000e+06 6.84800000000000e+03 6.84800000000000e+03 2.99327700000000e+06 2.99330000000000e+06 2.92576193359585e+22 5.27766843225921e+21 5.27766843225921e+21 9.35110530930526e+21 9.35117716213482e+21
154 2.50747194862938e-13 6.00027200000000e+06 6.84800000000000e+03 6.84800000000000e+03 2.99327700000000e+06 2.99329900000000e+06 2.92576162119224e+22 5.27766843225921e+21 5.27766843225921e+21 9.35110530930526e+21 9.35117403809875e+21
161 2.62144794629435e-13 6.00031600000000e+06 6.87200000000000e+03 6.87200000000000e+03 2.99327700000000e+06 2.99329500000000e+06 2.92763479321858e+22 5.28704054046300e+21 5.28704054046300e+21 9.35110530930526e+21 9.35116154195448e+21
168 2.73542394395933e-13 6.00031100000000e+06 6.87200000000000e+03 6.87200000000000e+03 2.99327400000000e+06 2.99329300000000e+06 2.92763323120054e+22 5.28704054046300e+21 5.28704054046300e+21 9.35109593719705e+21 9.35115529388234e+21
