#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
119 1.93759196030452e-13 1.65974589463351e+05 9.79359815926080e+04 2.31426213959829e+04 2.24188855433069e+04 2.24771009314530e+04 5.68059109147058e-18 1.86269661464448e-17 4.40161846823721e-18 2.39745354836394e-18 2.40365736319754e-18
126 2.05156795796949e-13 1.83841807439035e+05 1.14714227545543e+05 2.42251957781466e+04 2.24250191731214e+04 2.24773649422239e+04 6.28824520969600e-18 2.17809027150639e-17 4.59966164430393e-18 2.39811027386157e-18 2.40368800505501e-18
133 2.16554395563446e-13 1.83714312766650e+05 1.13459678242257e+05 2.53530243103251e+04 2.24244465875139e+04 2.24771636265539e+04 6.28388698458047e-18 2.15427002103634e-17 4.81380355210610e-18 2.39805064438846e-18 2.40366808275650e-18
140 2.27951995329943e-13 1.83728963138969e+05 1.13428967181787e+05 2.53936655009852e+04 2.24294093165799e+04 2.24769211396169e+04 6.28438943875166e-18 2.15368690712390e-17 4.82152013477358e-18 2.39858215560316e-18 2.40364295463914e-18
147 2.39349595096441e-13 2.01259341521543e+05 1.29916517545929e+05 2.64189056147559e+04 2.24495755664552e+04 2.24743427944032e+04 6.87886937110394e-18 2.46162712215545e-17 5.00579109010960e-18 2.40074032148004e-18 2.40337044253714e-18
154 2.50747194862938e-13 2.01144869027312e+05 1.28709503155172e+05 2.75106779129821e+04 2.24503011352918e+04 2.24743868238661e+04 6.87495753482972e-18 2.43875690197680e-17 5.21265749565204e-18 2.40081791325262e-18 2.40337595389633e-18
161 2.62144794629435e-13 2.16840678527443e+05 1.43343236657208e+05 2.85721679822494e+04 2.24500862784370e+04 2.24751876095485e+04 7.40668470772795e-18 2.71121879168823e-17 5.40418931225885e-18 2.40079493662604e-18 2.40346480046489e-18
168 2.73542394395933e-13 2.16750685870260e+05 1.43195892147701e+05 2.86264921308469e+04 2.24518682458901e+04 2.24764333458217e+04 7.40361475475454e-18 2.70843189212923e-17 5.41446427576286e-18 2.40098790523370e-18 2.40359962373057e-18
175 2.84939994162430e-13 2.16743641318432e+05 1.42154784176217e+05 2.96568667430868e+04 2.24554202400280e+04 2.24765701590999e+04 7.40337650200796e-18 2.68874019573468e-17 5.60935111356072e-18 2.40136935764214e-18 2.40361505735923e-18
182 2.96337593928927e-13 2.32862023842075e+05 1.57187511975445e+05 3.07342568343913e+04 2.24623594083108e+04 2.24778956239287e+04 7.94884928116451e-18 2.96781090149786e-17 5.80284408959858e-18 2.40211142819365e-18 2.40375840693373e-18
189 3.07735193695425e-13 2.32961335719409e+05 1.57205501394244e+05 3.08050779347240e+04 2.24746261993705e+04 2.24761301910708e+04 7.95224188058310e-18 2.96815055439110e-17 5.81621561199131e-18 2.40342403451560e-18 2.40357121969634e-18
196 3.19132793461922e-13 2.32847583308771e+05 1.55998411306155e+05 3.18896593675729e+04 2.24800523288956e+04 2.24794603061478e+04 7.94836143280185e-18 2.94535984361835e-17 6.02099222302856e-18 2.40400590806469e-18 2.40392814143548e-18
