#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 6.99482471981223e+04 1.23554671971762e+04 1.26469568055672e+04 2.24617282967022e+04 2.24840948986767e+04 2.40235480682368e-18 2.37286302450854e-18 2.42884349879911e-18 2.40199498714750e-18 2.40438680958933e-18
7 1.13975997664972e-14 8.56119279228276e+04 2.75892411184888e+04 1.31322458008623e+04 2.24071237778207e+04 2.24833172256557e+04 2.93953524487922e-18 5.29453311725564e-18 2.52015305524341e-18 2.39616453670178e-18 2.40430445061108e-18
14 2.27951995329944e-14 8.56071505388898e+04 2.71088615860778e+04 1.35853141648738e+04 2.24298598584512e+04 2.24831149294870e+04 2.93937467885975e-18 5.20234553832663e-18 2.60709946479986e-18 2.39860389228577e-18 2.40428362082524e-18
21 3.41927992994916e-14 1.01908580777203e+05 4.26921809046612e+04 1.43212648592522e+04 2.24119073783651e+04 2.24832276349244e+04 3.49722137596931e-18 8.18061250621803e-18 2.74421957205911e-18 2.39668969511035e-18 2.40429567324048e-18
28 4.55903990659888e-14 1.01859629208373e+05 4.26367629328344e+04 1.43228110166281e+04 2.24170801177199e+04 2.24829751411903e+04 3.49554299216556e-18 8.16999339649375e-18 2.74451584444664e-18 2.39724446043622e-18 2.40427027866004e-18
35 5.69879988324860e-14 1.01736634090874e+05 4.17344877223336e+04 1.50983782198255e+04 2.24213030169657e+04 2.24824651317488e+04 3.49132363440290e-18 7.99710075632723e-18 2.89312888382399e-18 2.39769845316961e-18 2.40421654278217e-18
42 6.83855985989831e-14 1.17423510387930e+05 5.64834323786520e+04 1.60510969665857e+04 2.24069897143068e+04 2.24819913283852e+04 4.02717360099935e-18 1.08046764003846e-17 3.07040314817518e-18 2.39617021290161e-18 2.40416667865380e-18
49 7.97831983654803e-14 1.17548833990511e+05 5.65861012861514e+04 1.60563707997089e+04 2.24242393977683e+04 2.24821225068820e+04 4.03147258118167e-18 1.08243158641211e-17 3.07141197603649e-18 2.39801647069840e-18 2.40418070654689e-18
56 9.11807981319774e-14 1.17467120310668e+05 5.56228571229663e+04 1.69552965319280e+04 2.24068141489093e+04 2.24821525068648e+04 4.02867141138933e-18 1.06400575597035e-17 3.24336685263633e-18 2.39615464022592e-18 2.40418471784981e-18
63 1.02578397898475e-13 1.33487213691082e+05 7.07021883979463e+04 1.78774147425128e+04 2.24245544321188e+04 2.24830561185043e+04 4.57528191335731e-18 1.35013758188851e-17 3.41389284515773e-18 2.39805256345085e-18 2.40428295422986e-18
70 1.13975997664972e-13 1.33393281639036e+05 7.06046402626278e+04 1.78953418449402e+04 2.24104106988542e+04 2.24828888326134e+04 4.57206385556235e-18 1.34827479084171e-17 3.41731622642358e-18 2.39654005108791e-18 2.40426747471612e-18
77 1.25373597431469e-13 1.33412673935265e+05 6.97519178081444e+04 1.87587025080845e+04 2.24194335434212e+04 2.24826200756151e+04 4.57273048637135e-18 1.33199109922190e-17 3.58218462787593e-18 2.39750574326117e-18 2.40424114407791e-18
84 1.36771197197966e-13 1.49878718455093e+05 8.51953876943487e+04 1.97840481807056e+04 2.24168560354776e+04 2.24824265445614e+04 5.13271043418983e-18 1.62302847836493e-17 3.76899201748206e-18 2.39723090870392e-18 2.40422205469222e-18
91 1.48168796964463e-13 1.49952077555520e+05 8.42651787801131e+04 2.07883493712734e+04 2.24172309129296e+04 2.24813184912042e+04 5.13522377102896e-18 1.60530738336798e-17 3.96031803609182e-18 2.39727179851772e-18 2.40410436502100e-18
98 1.59566396730960e-13 1.49841619743459e+05 8.41110691985481e+04 2.08289146726404e+04 2.24205404043793e+04 2.24810954678915e+04 5.13144270559785e-18 1.60237149392093e-17 3.96804599427522e-18 2.39762731356759e-18 2.40408131853260e-18
105 1.70963996497458e-13 1.65803267624004e+05 9.89536563581471e+04 2.19527991788943e+04 2.24178271321403e+04 2.24789849548225e+04 5.67472323990522e-18 1.88205231323199e-17 4.17531984134246e-18 2.39733796019815e-18 2.40385562468022e-18
112 1.82361596263955e-13 1.65895747178195e+05 9.79216604794430e+04 2.30698003456311e+04 2.24265744688148e+04 2.24777118843057e+04 5.67789084036576e-18 1.86242423376284e-17 4.38776824467694e-18 2.39827419205060e-18 2.40372189427340e-18
