#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
51 8.30396554416223e-15 5.99999700000000e+06 6.66900000000000e+03 6.66900000000000e+03 2.99332700000000e+06 2.99333200000000e+06 2.91180748928761e+22 5.20776812523980e+21 5.20776812523980e+21 9.35126151110808e+21 9.35127713128841e+21
102 1.66079310883245e-14 5.99999400000000e+06 6.67300000000000e+03 6.67300000000000e+03 2.99331600000000e+06 2.99333200000000e+06 2.91211645645473e+22 5.20933014327377e+21 5.20933014327377e+21 9.35122714671133e+21 9.35127713128842e+21
153 2.49118966324867e-14 6.00000000000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99331400000000e+06 2.99333200000000e+06 2.91242823525431e+22 5.21089216130773e+21 5.21089216130773e+21 9.35122089863919e+21 9.35127713128841e+21
204 3.32158621766490e-14 6.00000100000000e+06 6.67900000000000e+03 6.67900000000000e+03 2.99331200000000e+06 2.99333100000000e+06 2.91258349984688e+22 5.21167317032471e+21 5.21167317032471e+21 9.35121465056705e+21 9.35127400725235e+21
255 4.15198277208113e-14 6.00001200000000e+06 6.68700000000000e+03 6.68700000000000e+03 2.99330900000000e+06 2.99332900000000e+06 2.91320674504244e+22 5.21479720639265e+21 5.21479720639265e+21 9.35120527845885e+21 9.35126775918021e+21
306 4.98237932649736e-14 6.00001500000000e+06 6.69200000000000e+03 6.69200000000000e+03 2.99330400000000e+06 2.99332700000000e+06 2.91359506272568e+22 5.21674972893510e+21 5.21674972893510e+21 9.35118965827851e+21 9.35126151110808e+21
357 5.81277588091358e-14 6.00002700000000e+06 6.69900000000000e+03 6.69900000000000e+03 2.99330200000000e+06 2.99332700000000e+06 2.91414114423035e+22 5.21948326049454e+21 5.21948326049454e+21 9.35118341020638e+21 9.35126151110807e+21
408 6.64317243532977e-14 6.00003600000000e+06 6.70400000000000e+03 6.70400000000000e+03 2.99330200000000e+06 2.99332600000000e+06 2.91453133633524e+22 5.22143578303700e+21 5.22143578303700e+21 9.35118341020638e+21 9.35125838707201e+21
459 7.47356898974597e-14 6.00004700000000e+06 6.71000000000000e+03 6.71000000000000e+03 2.99330100000000e+06 2.99332600000000e+06 2.91499962934182e+22 5.22377881008795e+21 5.22377881008795e+21 9.35118028617031e+21 9.35125838707201e+21
510 8.30396554416217e-14 6.00005400000000e+06 6.71500000000000e+03 6.71500000000000e+03 2.99329900000000e+06 2.99332500000000e+06 2.91538919663949e+22 5.22573133263040e+21 5.22573133263040e+21 9.35117403809817e+21 9.35125526303594e+21
561 9.13436209857836e-14 6.00006800000000e+06 6.72300000000000e+03 6.72300000000000e+03 2.99329700000000e+06 2.99332500000000e+06 2.91601337904586e+22 5.22885536869833e+21 5.22885536869833e+21 9.35116779002604e+21 9.35125526303594e+21
612 9.96475865299456e-14 6.00007400000000e+06 6.72900000000000e+03 6.72900000000000e+03 2.99329100000000e+06 2.99332500000000e+06 2.91648011003441e+22 5.23119839574928e+21 5.23119839574928e+21 9.35114904580963e+21 9.35125526303594e+21
663 1.07951552074108e-13 6.00009100000000e+06 6.73900000000000e+03 6.73900000000000e+03 2.99328900000000e+06 2.99332400000000e+06 2.91726018184057e+22 5.23510344083419e+21 5.23510344083419e+21 9.35114279773749e+21 9.35125213899987e+21
714 1.16255517618270e-13 6.00010300000000e+06 6.74500000000000e+03 6.74500000000000e+03 2.99328900000000e+06 2.99332400000000e+06 2.91772878725076e+22 5.23744646788514e+21 5.23744646788514e+21 9.35114279773749e+21 9.35125213899987e+21
765 1.24559483162432e-13 6.00011700000000e+06 6.75400000000000e+03 6.75400000000000e+03 2.99328600000000e+06 2.99332300000000e+06 2.91843044575162e+22 5.24096100846156e+21 5.24096100846156e+21 9.35113342562929e+21 9.35124901496380e+21
816 1.32863448706595e-13 6.00013100000000e+06 6.76200000000000e+03 6.76200000000000e+03 2.99328400000000e+06 2.99332300000000e+06 2.91905462815799e+22 5.24408504452949e+21 5.24408504452949e+21 9.35112717755715e+21 9.35124901496380e+21
867 1.41167414250757e-13 6.00014700000000e+06 6.77000000000000e+03 6.77000000000000e+03 2.99328400000000e+06 2.99332300000000e+06 2.91967943537158e+22 5.24720908059742e+21 5.24720908059742e+21 9.35112717755715e+21 9.35124901496380e+21
918 1.49471379794920e-13 6.00016900000000e+06 6.78200000000000e+03 6.78200000000000e+03 2.99328400000000e+06 2.99332100000000e+06 2.92061602138475e+22 5.25189513469932e+21 5.25189513469932e+21 9.35112717755715e+21 9.35124276689166e+21
969 1.57775345339083e-13 6.00018400000000e+06 6.79100000000000e+03 6.79100000000000e+03 2.99328300000000e+06 2.99331900000000e+06 2.92131799228921e+22 5.25540967527574e+21 5.25540967527574e+21 9.35112405352108e+21 9.35123651881953e+21
1020 1.66079310883245e-13 6.00019300000000e+06 6.79600000000000e+03 6.79600000000000e+03 2.99328200000000e+06 2.99331900000000e+06 2.92170818439409e+22 5.25736219781820e+21 5.25736219781820e+21 9.35112092948502e+21 9.35123651881953e+21
1071 1.74383276427408e-13 6.00019700000000e+06 6.79900000000000e+03 6.79900000000000e+03 2.99328200000000e+06 2.99331700000000e+06 2.92194186229198e+22 5.25853371134367e+21 5.25853371134367e+21 9.35112092948502e+21 9.35123027074739e+21
1122 1.82687241971570e-13 6.00020600000000e+06 6.80600000000000e+03 6.80600000000000e+03 2.99328100000000e+06 2.99331300000000e+06 2.92248700658583e+22 5.26126724290311e+21 5.26126724290311e+21 9.35111780544895e+21 9.35121777460312e+21
1173 1.90991207515733e-13 6.00021500000000e+06 6.81200000000000e+03 6.81200000000000e+03 2.99328000000000e+06 2.99331100000000e+06 2.92295467478520e+22 5.26361026995406e+21 5.26361026995406e+21 9.35111468141288e+21 9.35121152653099e+21
1224 1.99295173059896e-13 6.00021700000000e+06 6.81400000000000e+03 6.81400000000000e+03 2.99327900000000e+06 2.99331000000000e+06 2.92311025178138e+22 5.26439127897104e+21 5.26439127897104e+21 9.35111155737682e+21 9.35120840249492e+21
1275 2.07599138604058e-13 6.00022700000000e+06 6.82000000000000e+03 6.82000000000000e+03 2.99327700000000e+06 2.99331000000000e+06 2.92357823238436e+22 5.26673430602199e+21 5.26673430602199e+21 9.35110530930468e+21 9.35120840249492e+21
1326 2.15903104148221e-13 6.00023000000000e+06 6.82300000000000e+03 6.82300000000000e+03 2.99327600000000e+06 2.99330800000000e+06 2.92381159787863e+22 5.26790581954746e+21 5.26790581954746e+21 9.35110218526861e+21 9.35120215442278e+21
1377 2.24207069692383e-13 6.00023100000000e+06 6.82500000000000e+03 6.82500000000000e+03 2.99327500000000e+06 2.99330600000000e+06 2.92396686247121e+22 5.26868682856444e+21 5.26868682856444e+21 9.35109906123254e+21 9.35119590635065e+21
1428 2.32511035236545e-13 6.00024800000000e+06 6.83500000000000e+03 6.83500000000000e+03 2.99327300000000e+06 2.99330500000000e+06 2.92474693427737e+22 5.27259187364936e+21 5.27259187364936e+21 9.35109281316041e+21 9.35119278231458e+21
1479 2.40815000780707e-13 6.00026600000000e+06 6.84400000000000e+03 6.84400000000000e+03 2.99327300000000e+06 2.99330500000000e+06 2.92544984239265e+22 5.27610641422578e+21 5.27610641422578e+21 9.35109281316040e+21 9.35119278231458e+21
