#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430947e+22 5.20698711622230e+21 5.20698711622230e+21 9.35128025532506e+21 9.35128025532506e+21
7 1.13975997664972e-15 6.00000300000000e+06 6.66900000000000e+03 6.66900000000000e+03 2.99333200000000e+06 2.99333300000000e+06 2.91180936370926e+22 5.20776812523928e+21 5.20776812523928e+21 9.35127713128899e+21 9.35128025532506e+21
14 2.27951995329944e-15 6.00000200000000e+06 6.66900000000000e+03 6.66900000000000e+03 2.99333100000000e+06 2.99333300000000e+06 2.91180905130565e+22 5.20776812523928e+21 5.20776812523928e+21 9.35127400725293e+21 9.35128025532506e+21
21 3.41927992994916e-15 6.00000200000000e+06 6.67000000000000e+03 6.67000000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91188652740014e+22 5.20815862974777e+21 5.20815862974777e+21 9.35126775918079e+21 9.35128025532506e+21
28 4.55903990659888e-15 6.00000200000000e+06 6.67000000000000e+03 6.67000000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91188652740014e+22 5.20815862974777e+21 5.20815862974777e+21 9.35126775918079e+21 9.35128025532506e+21
35 5.69879988324859e-15 6.00000000000000e+06 6.67000000000000e+03 6.67000000000000e+03 2.99332700000000e+06 2.99333300000000e+06 2.91188590259293e+22 5.20815862974777e+21 5.20815862974777e+21 9.35126151110865e+21 9.35128025532506e+21
42 6.83855985989831e-15 6.00000000000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332500000000e+06 2.99333300000000e+06 2.91196337868741e+22 5.20854913425626e+21 5.20854913425626e+21 9.35125526303652e+21 9.35128025532506e+21
49 7.97831983654803e-15 5.99999800000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332300000000e+06 2.99333300000000e+06 2.91196275388020e+22 5.20854913425626e+21 5.20854913425626e+21 9.35124901496438e+21 9.35128025532506e+21
56 9.11807981319774e-15 5.99999700000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332200000000e+06 2.99333300000000e+06 2.91196244147659e+22 5.20854913425626e+21 5.20854913425626e+21 9.35124589092831e+21 9.35128025532506e+21
63 1.02578397898475e-14 5.99999600000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332200000000e+06 2.99333200000000e+06 2.91196212907298e+22 5.20854913425626e+21 5.20854913425626e+21 9.35124589092831e+21 9.35127713128899e+21
70 1.13975997664972e-14 5.99999600000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332200000000e+06 2.99333200000000e+06 2.91196212907298e+22 5.20854913425626e+21 5.20854913425626e+21 9.35124589092831e+21 9.35127713128899e+21
77 1.25373597431469e-14 5.99999400000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332100000000e+06 2.99333100000000e+06 2.91196150426577e+22 5.20854913425626e+21 5.20854913425626e+21 9.35124276689225e+21 9.35127400725293e+21
84 1.36771197197966e-14 5.99999300000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332000000000e+06 2.99333100000000e+06 2.91196119186216e+22 5.20854913425626e+21 5.20854913425626e+21 9.35123964285618e+21 9.35127400725293e+21
91 1.48168796964463e-14 5.99999200000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99331900000000e+06 2.99333100000000e+06 2.91196087945856e+22 5.20854913425626e+21 5.20854913425626e+21 9.35123651882011e+21 9.35127400725293e+21
98 1.59566396730960e-14 5.99999100000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99331800000000e+06 2.99333100000000e+06 2.91196056705495e+22 5.20854913425626e+21 5.20854913425626e+21 9.35123339478404e+21 9.35127400725293e+21
105 1.70963996497458e-14 5.99999000000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99331700000000e+06 2.99333100000000e+06 2.91196025465134e+22 5.20854913425626e+21 5.20854913425626e+21 9.35123027074797e+21 9.35127400725293e+21
112 1.82361596263955e-14 5.99998800000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99331500000000e+06 2.99333100000000e+06 2.91195962984413e+22 5.20854913425626e+21 5.20854913425626e+21 9.35122402267584e+21 9.35127400725293e+21
119 1.93759196030452e-14 5.99998800000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99331500000000e+06 2.99333100000000e+06 2.91195962984413e+22 5.20854913425626e+21 5.20854913425626e+21 9.35122402267584e+21 9.35127400725293e+21
126 2.05156795796949e-14 5.99998900000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99331400000000e+06 2.99333100000000e+06 2.91203741834222e+22 5.20893963876475e+21 5.20893963876475e+21 9.35122089863977e+21 9.35127400725293e+21
133 2.16554395563447e-14 5.99998800000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99331300000000e+06 2.99333100000000e+06 2.91203710593861e+22 5.20893963876475e+21 5.20893963876475e+21 9.35121777460370e+21 9.35127400725293e+21
140 2.27951995329944e-14 5.99998800000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99331300000000e+06 2.99333100000000e+06 2.91203710593861e+22 5.20893963876475e+21 5.20893963876475e+21 9.35121777460370e+21 9.35127400725293e+21
147 2.39349595096441e-14 5.99998700000000e+06 6.67300000000000e+03 6.67300000000000e+03 2.99331000000000e+06 2.99333100000000e+06 2.91211426962949e+22 5.20933014327324e+21 5.20933014327324e+21 9.35120840249550e+21 9.35127400725293e+21
154 2.50747194862938e-14 5.99998700000000e+06 6.67300000000000e+03 6.67300000000000e+03 2.99331000000000e+06 2.99333100000000e+06 2.91211426962949e+22 5.20933014327324e+21 5.20933014327324e+21 9.35120840249550e+21 9.35127400725293e+21
161 2.62144794629436e-14 5.99998800000000e+06 6.67400000000000e+03 6.67400000000000e+03 2.99330900000000e+06 2.99333100000000e+06 2.91219205812758e+22 5.20972064778173e+21 5.20972064778174e+21 9.35120527845943e+21 9.35127400725293e+21
168 2.73542394395933e-14 5.99998700000000e+06 6.67400000000000e+03 6.67400000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91219174572398e+22 5.20972064778174e+21 5.20972064778174e+21 9.35120215442336e+21 9.35127400725293e+21
175 2.84939994162430e-14 5.99998700000000e+06 6.67400000000000e+03 6.67400000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91219174572398e+22 5.20972064778174e+21 5.20972064778174e+21 9.35120215442336e+21 9.35127400725293e+21
182 2.96337593928927e-14 5.99999500000000e+06 6.67800000000000e+03 6.67800000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91250414933077e+22 5.21128266581570e+21 5.21128266581570e+21 9.35120215442336e+21 9.35127400725293e+21
189 3.07735193695425e-14 5.99999500000000e+06 6.67800000000000e+03 6.67800000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91250414933077e+22 5.21128266581570e+21 5.21128266581570e+21 9.35120215442336e+21 9.35127400725293e+21
196 3.19132793461922e-14 5.99999500000000e+06 6.67800000000000e+03 6.67800000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91250414933077e+22 5.21128266581570e+21 5.21128266581570e+21 9.35120215442336e+21 9.35127400725293e+21
