#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
7 1.13975997664972e-14 6.00001900000000e+06 6.68100000000000e+03 6.68100000000000e+03 2.99332400000000e+06 2.99333300000000e+06 2.91274407530077e+22 5.21245417934170e+21 5.21245417934170e+21 9.35125213899987e+21 9.35128025532448e+21
14 2.27951995329944e-14 6.00001200000000e+06 6.68100000000000e+03 6.68100000000000e+03 2.99331800000000e+06 2.99333200000000e+06 2.91274188847553e+22 5.21245417934170e+21 5.21245417934170e+21 9.35123339478346e+21 9.35127713128842e+21
21 3.41927992994916e-14 6.00004700000000e+06 6.70500000000000e+03 6.70500000000000e+03 2.99330800000000e+06 2.99332900000000e+06 2.91461224886940e+22 5.22182628754549e+21 5.22182628754549e+21 9.35120215442279e+21 9.35126775918021e+21
28 4.55903990659888e-14 6.00004200000000e+06 6.70500000000000e+03 6.70500000000000e+03 2.99330400000000e+06 2.99332800000000e+06 2.91461068685136e+22 5.22182628754549e+21 5.22182628754549e+21 9.35118965827851e+21 9.35126463514414e+21
35 5.69879988324860e-14 6.00003800000000e+06 6.70500000000000e+03 6.70500000000000e+03 2.99330200000000e+06 2.99332600000000e+06 2.91460943723694e+22 5.22182628754549e+21 5.22182628754549e+21 9.35118341020638e+21 9.35125838707201e+21
42 6.83855985989831e-14 6.00007200000000e+06 6.72500000000000e+03 6.72500000000000e+03 2.99329700000000e+06 2.99332500000000e+06 2.91616958084926e+22 5.22963637771531e+21 5.22963637771531e+21 9.35116779002604e+21 9.35125526303594e+21
49 7.97831983654803e-14 6.00006800000000e+06 6.72500000000000e+03 6.72500000000000e+03 2.99329500000000e+06 2.99332300000000e+06 2.91616833123483e+22 5.22963637771531e+21 5.22963637771531e+21 9.35116154195390e+21 9.35124901496380e+21
56 9.11807981319774e-14 6.00006500000000e+06 6.72500000000000e+03 6.72500000000000e+03 2.99329400000000e+06 2.99332100000000e+06 2.91616739402401e+22 5.22963637771531e+21 5.22963637771531e+21 9.35115841791784e+21 9.35124276689167e+21
63 1.02578397898475e-13 6.00010000000000e+06 6.74400000000000e+03 6.74400000000000e+03 2.99329400000000e+06 2.99331800000000e+06 2.91765037394546e+22 5.23705596337665e+21 5.23705596337665e+21 9.35115841791783e+21 9.35123339478346e+21
70 1.13975997664972e-13 6.00009800000000e+06 6.74400000000000e+03 6.74400000000000e+03 2.99329300000000e+06 2.99331700000000e+06 2.91764974913825e+22 5.23705596337665e+21 5.23705596337665e+21 9.35115529388177e+21 9.35123027074739e+21
77 1.25373597431469e-13 6.00009500000000e+06 6.74400000000000e+03 6.74400000000000e+03 2.99329200000000e+06 2.99331500000000e+06 2.91764881192743e+22 5.23705596337665e+21 5.23705596337665e+21 9.35115216984570e+21 9.35122402267526e+21
84 1.36771197197966e-13 6.00013700000000e+06 6.76700000000000e+03 6.76700000000000e+03 2.99328900000000e+06 2.99331400000000e+06 2.91944388305206e+22 5.24603756707195e+21 5.24603756707195e+21 9.35114279773749e+21 9.35122089863919e+21
91 1.48168796964463e-13 6.00013700000000e+06 6.76700000000000e+03 6.76700000000000e+03 2.99328900000000e+06 2.99331400000000e+06 2.91944388305206e+22 5.24603756707195e+21 5.24603756707195e+21 9.35114279773749e+21 9.35122089863919e+21
98 1.59566396730960e-13 6.00013400000000e+06 6.76700000000000e+03 6.76700000000000e+03 2.99328800000000e+06 2.99331200000000e+06 2.91944294584124e+22 5.24603756707195e+21 5.24603756707195e+21 9.35113967370143e+21 9.35121465056706e+21
105 1.70963996497458e-13 6.00017900000000e+06 6.79100000000000e+03 6.79100000000000e+03 2.99328600000000e+06 2.99331100000000e+06 2.92131643027118e+22 5.25540967527574e+21 5.25540967527574e+21 9.35113342562929e+21 9.35121152653099e+21
112 1.82361596263955e-13 6.00017400000000e+06 6.79100000000000e+03 6.79100000000000e+03 2.99328300000000e+06 2.99330900000000e+06 2.92131486825314e+22 5.25540967527574e+21 5.25540967527574e+21 9.35112405352109e+21 9.35120527845885e+21
119 1.93759196030452e-13 6.00016900000000e+06 6.79100000000000e+03 6.79100000000000e+03 2.99328000000000e+06 2.99330700000000e+06 2.92131330623511e+22 5.25540967527574e+21 5.25540967527574e+21 9.35111468141288e+21 9.35119903038671e+21
126 2.05156795796949e-13 6.00021900000000e+06 6.81800000000000e+03 6.81800000000000e+03 2.99327800000000e+06 2.99330500000000e+06 2.92342078096653e+22 5.26595329700501e+21 5.26595329700501e+21 9.35110843334075e+21 9.35119278231458e+21
133 2.16554395563446e-13 6.00021500000000e+06 6.81800000000000e+03 6.81800000000000e+03 2.99327700000000e+06 2.99330200000000e+06 2.92341953135211e+22 5.26595329700501e+21 5.26595329700501e+21 9.35110530930468e+21 9.35118341020638e+21
