#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00277330600686e+04 1.26800757923692e+04 1.23967616788296e+04 2.24566457501927e+04 2.24942498386771e+04 2.40508472858971e-18 2.43520398828399e-18 2.38079361483465e-18 2.40145147370663e-18 2.40547275073584e-18
51 8.30396554416223e-15 7.48018482806565e+04 1.72520100554888e+04 1.26270706938055e+04 2.24291112037116e+04 2.24936563276506e+04 2.56870764910054e-18 3.31200037856039e-18 2.42411538038068e-18 2.39851181330655e-18 2.40540928231116e-18
102 1.66079310883245e-14 7.95548754131850e+04 2.16924521446219e+04 1.29561717090043e+04 2.24128102759639e+04 2.24934412835949e+04 2.73141692315302e-18 4.16228175399386e-18 2.48599082973522e-18 2.39677423870614e-18 2.40538708967721e-18
153 2.49118966324867e-14 8.26354011979361e+04 2.41459961278509e+04 1.35661592048481e+04 2.24301575558189e+04 2.24930883094182e+04 2.83680439604146e-18 4.63132521402243e-18 2.60205852971151e-18 2.39863332344827e-18 2.40535014715362e-18
204 3.32158621766490e-14 8.72997470346775e+04 2.83244201499737e+04 1.40581717977047e+04 2.24231819495383e+04 2.24939731374608e+04 2.99628707048046e-18 5.42951485536484e-18 2.69481430549179e-18 2.39789137236593e-18 2.40544637547976e-18
255 4.15198277208113e-14 9.03876134806292e+04 3.07433718016899e+04 1.47393521134989e+04 2.24107245703850e+04 2.24941649950554e+04 3.10201984024405e-18 5.89188114828512e-18 2.82475557384004e-18 2.39656160643800e-18 2.40546689222675e-18
306 4.98237932649736e-14 9.51927680968896e+04 3.47749752133937e+04 1.55020401933816e+04 2.24211650331441e+04 2.24945876569702e+04 3.26622866054780e-18 6.66053890710457e-18 2.96914494442972e-18 2.39767889130815e-18 2.40551289420582e-18
357 5.81277588091358e-14 9.87172888052177e+04 3.76005015899782e+04 1.61991094120926e+04 2.24235135674425e+04 2.24941642357045e+04 3.38689023615635e-18 7.20010353595246e-18 3.10196034694324e-18 2.39793164152020e-18 2.40546922185386e-18
408 6.64317243532977e-14 1.03458147595483e+05 4.16548499593569e+04 1.68924153694481e+04 2.24172500964406e+04 2.24936321702370e+04 3.54897448030128e-18 7.97289176535704e-18 3.23327054418569e-18 2.39726343854760e-18 2.40541232411396e-18
459 7.47356898974597e-14 1.06521911997134e+05 4.38974678003705e+04 1.77056330607666e+04 2.24259321412485e+04 2.24928789947487e+04 3.65377937500910e-18 8.40025347768394e-18 3.38816367198395e-18 2.39819268316480e-18 2.40533258499098e-18
510 8.30396554416217e-14 1.11018793148861e+05 4.77478859894761e+04 1.83496611883460e+04 2.24277866842820e+04 2.24934592867570e+04 3.80751608944715e-18 9.13365982187866e-18 3.51009389563387e-18 2.39839180623151e-18 2.40539463997632e-18
561 9.13436209857836e-14 1.16194100107307e+05 5.21059228386704e+04 1.91728734499277e+04 2.24230459651800e+04 2.24922578535284e+04 3.98404998647635e-18 9.96060919444580e-18 3.66510156936641e-18 2.39788564236158e-18 2.40526776878003e-18
612 9.96475865299456e-14 1.19494591723033e+05 5.47054398079096e+04 1.98687313419624e+04 2.24284729990053e+04 2.24919475741557e+04 4.09688860883323e-18 1.04551934890804e-17 3.79727192199154e-18 2.39846680219242e-18 2.40523539178631e-18
663 1.07951552074108e-13 1.24371937006810e+05 5.90287209027992e+04 2.04239409194230e+04 2.24272781255043e+04 2.24919970590836e+04 4.26308306321923e-18 1.12738776930948e-17 3.90076234780230e-18 2.39834142794823e-18 2.40524068358683e-18
714 1.16255517618270e-13 1.27331622321130e+05 6.12573103691651e+04 2.11599826688730e+04 2.24223542606586e+04 2.24919750224333e+04 4.36394867569490e-18 1.16951540668459e-17 4.03983223998726e-18 2.39781567786243e-18 2.40523913057489e-18
