#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
765 1.24559483162432e-13 1.32494734689545e+05 6.56494963316637e+04 2.19275167579506e+04 2.24252025304800e+04 2.24925190694511e+04 4.54017226892431e-18 1.25280994810526e-17 4.18449686084729e-18 2.39812187024330e-18 2.40529730968877e-18
816 1.32863448706595e-13 1.35528845845759e+05 6.80629467185380e+04 2.25447204339773e+04 2.24280834918700e+04 2.24930952013735e+04 4.64352221053896e-18 1.29838279427432e-17 4.30067731775534e-18 2.39843236029895e-18 2.40535972346279e-18
867 1.41167414250757e-13 1.40002966097464e+05 7.19736983030344e+04 2.31123741735323e+04 2.24239405686976e+04 2.24929530521997e+04 4.79540458889714e-18 1.37186095608384e-17 4.40535424448693e-18 2.39799012218385e-18 2.40534452235800e-18
918 1.49471379794920e-13 1.43212916489186e+05 7.44523627965642e+04 2.38385762504401e+04 2.24288430825564e+04 2.24931343596251e+04 4.90469735266804e-18 1.41857781579208e-17 4.54208223335297e-18 2.39851599390980e-18 2.40536391095591e-18
969 1.57775345339083e-13 1.48527401089434e+05 7.90951507358528e+04 2.45078199928209e+04 2.24310335263045e+04 2.24933968344559e+04 5.08548251085207e-18 1.50603065573931e-17 4.66647169531194e-18 2.39875023757294e-18 2.40539358658332e-18
1020 1.66079310883245e-13 1.51432416951700e+05 8.13018031440406e+04 2.52095449952118e+04 2.24266435999251e+04 2.24944252125222e+04 5.18467220212447e-18 1.54781678747320e-17 4.79937165465067e-18 2.39828238607955e-18 2.40550355903539e-18
1071 1.74383276427408e-13 1.56167563554472e+05 8.51500594913393e+04 2.60935537587012e+04 2.24286843728551e+04 2.24952659315760e+04 5.34564897305306e-18 1.62011599715792e-17 4.96471571713603e-18 2.39850062425461e-18 2.40559426730683e-18
1122 1.82687241971570e-13 1.61395345010628e+05 8.97110342031998e+04 2.67569944619442e+04 2.24319607311019e+04 2.24953556143816e+04 5.52327047143043e-18 1.70575519764765e-17 5.08754388824812e-18 2.39885179607422e-18 2.40560626876595e-18
1173 1.90991207515733e-13 1.64222058122586e+05 9.17722508375507e+04 2.75251954764259e+04 2.24288422581512e+04 2.24957695504580e+04 5.61940605548789e-18 1.74442883574489e-17 5.23205481617601e-18 2.39851911094753e-18 2.40565053422400e-18
1224 1.99295173059896e-13 1.68792941609363e+05 9.57007929944574e+04 2.81659776767058e+04 2.24302761382729e+04 2.24958947999271e+04 5.77473564624476e-18 1.81815879379863e-17 5.35107582669711e-18 2.39867244872730e-18 2.40566633917995e-18
1275 2.07599138604058e-13 1.71894447989327e+05 9.83067181110330e+04 2.86600973638502e+04 2.24308955943543e+04 2.24967369200893e+04 5.87943160630989e-18 1.86642089654853e-17 5.44131730209821e-18 2.39873949414728e-18 2.40575719754969e-18
1326 2.15903104148221e-13 1.77158668862051e+05 1.02842837157632e+05 2.93887559031222e+04 2.24297834137790e+04 2.24972923875178e+04 6.05851783771532e-18 1.95167406515255e-17 5.57717720440837e-18 2.39862216124294e-18 2.40581659815382e-18
1377 2.24207069692383e-13 1.80440034722312e+05 1.05546888112093e+05 2.99646247443168e+04 2.24308065756922e+04 2.24977152902102e+04 6.17040719853827e-18 2.00269268461994e-17 5.68561857637082e-18 2.39873237868964e-18 2.40586343003713e-18
1428 2.32511035236545e-13 1.85752905637596e+05 1.10278743565196e+05 3.05445400662189e+04 2.24315977419052e+04 2.24980242642755e+04 6.35107617211642e-18 2.09154712156524e-17 5.79307877381336e-18 2.39882019097650e-18 2.40589968618145e-18
1479 2.40815000780707e-13 1.88990363893386e+05 1.12825485392935e+05 3.12322689067198e+04 2.24336334507884e+04 2.24989761429426e+04 6.46090888954580e-18 2.13905651214908e-17 5.92132069819514e-18 2.39903868981132e-18 2.40600469361737e-18
