#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 6.99482471981223e+04 1.23554671971762e+04 1.26469568055672e+04 2.24617282967022e+04 2.24840948986767e+04 2.40235480682368e-18 2.37286302450854e-18 2.42884349879911e-18 2.40199498714750e-18 2.40438680958933e-18
7 4.55903990659888e-15 7.61164800839973e+04 1.83113514156102e+04 1.28758235567132e+04 2.24451793231794e+04 2.24841257884946e+04 2.61385175844641e-18 3.51537024528711e-18 2.47187037087006e-18 2.40022849320547e-18 2.40439011286086e-18
14 9.11807981319775e-15 7.60786780895379e+04 1.81751094105080e+04 1.30047163797289e+04 2.24149809997194e+04 2.24838712995816e+04 2.61255447290395e-18 3.48921482507677e-18 2.49661491236110e-18 2.39700156619631e-18 2.40436289852165e-18
21 1.36771197197966e-14 8.24726402738494e+04 2.43766094970062e+04 1.32138395028966e+04 2.23983456835548e+04 2.24838455903918e+04 2.83174567727562e-18 4.67801074027428e-18 2.53581135319095e-18 2.39522502798415e-18 2.40436095249084e-18
28 1.82361596263955e-14 8.24247700117763e+04 2.43203365032756e+04 1.32137939890583e+04 2.24068304084464e+04 2.24838091109961e+04 2.83010293493179e-18 4.66721163102606e-18 2.53580261882516e-18 2.39613476546545e-18 2.40435705148404e-18
35 2.27951995329944e-14 8.24626407864843e+04 2.40188892974195e+04 1.35351515957880e+04 2.24241252459322e+04 2.24844746473446e+04 2.83140416138210e-18 4.60936218864182e-18 2.59747298097848e-18 2.39798583772275e-18 2.40442902538258e-18
42 2.73542394395933e-14 8.91158731361165e+04 3.02484352509422e+04 1.39532050386284e+04 2.24300103887386e+04 2.24842224578073e+04 3.05935496159611e-18 5.80223875540680e-18 2.67649636636147e-18 2.39861598306514e-18 2.40440205691421e-18
49 3.19132793461921e-14 8.91224953465868e+04 3.02653828454107e+04 1.39534020786667e+04 2.24196807270261e+04 2.24840296954833e+04 3.05958328701075e-18 5.80548963396036e-18 2.67653416247679e-18 2.39751375462505e-18 2.40438144343161e-18
56 3.64723192527910e-14 8.90829218759753e+04 2.98934790468540e+04 1.43007182515204e+04 2.24045067094270e+04 2.24842178681738e+04 3.05822603816259e-18 5.73415124520185e-18 2.74315616595541e-18 2.39589267775679e-18 2.40440317261791e-18
63 4.10313591593898e-14 9.55590125995674e+04 3.59167444992477e+04 1.47568039100060e+04 2.24016518343423e+04 2.24838123559715e+04 3.27984880038411e-18 6.88540473421849e-18 2.82894702514081e-18 2.39558978412598e-18 2.40436061144830e-18
70 4.55903990659887e-14 9.56151606694806e+04 3.59613444836841e+04 1.47563207830787e+04 2.24137972324492e+04 2.24836981702686e+04 3.28177736452372e-18 6.89395475589407e-18 2.82885440749188e-18 2.39689179276015e-18 2.40434840072523e-18
77 5.01494389725875e-14 9.55501804887269e+04 3.55921626373671e+04 1.50491507255497e+04 2.24257777931478e+04 2.24830893326622e+04 3.27954706459171e-18 6.82318090186418e-18 2.88499125119311e-18 2.39817297270987e-18 2.40428329320981e-18
84 5.47084788791864e-14 1.01677054709249e+05 4.12352233810400e+04 1.55353215248410e+04 2.24239269403067e+04 2.24825828630614e+04 3.48918364483164e-18 7.90084125900030e-18 2.97663257795606e-18 2.39797504578395e-18 2.40422913266356e-18
91 5.92675187857853e-14 1.01640088540895e+05 4.07969388442076e+04 1.59497544247054e+04 2.24112130734826e+04 2.24821821984998e+04 3.48791622326805e-18 7.81686410869391e-18 3.05603965486404e-18 2.39661784935374e-18 2.40418628663393e-18
