#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
98 6.38265586923842e-14 1.01574046913310e+05 4.07412554814338e+04 1.59494415358943e+04 2.24015226542097e+04 2.24818272417722e+04 3.48565028975091e-18 7.80619494350040e-18 3.05597970405922e-18 2.39558237234913e-18 2.40414832848159e-18
105 6.83855985989831e-14 1.07972541620759e+05 4.67293981998860e+04 1.63569449827482e+04 2.24039848091810e+04 2.24822136289440e+04 3.70462752282961e-18 8.94953038620173e-18 3.13265271515721e-18 2.39584567119441e-18 2.40418964772416e-18
112 7.29446385055820e-14 1.08000637501632e+05 4.62763656310784e+04 1.68261387549400e+04 2.24157780616440e+04 2.24823550539696e+04 3.70559231021468e-18 8.86276640257114e-18 3.22251186342370e-18 2.39710682241832e-18 2.40420637772664e-18
119 7.75036784121809e-14 1.07987713858681e+05 4.62546849912815e+04 1.68274800165214e+04 2.24231089551035e+04 2.24824398957750e+04 3.70515047779807e-18 8.85861416539006e-18 3.22276873943196e-18 2.39789398058054e-18 2.40421545049544e-18
126 8.20627183187797e-14 1.14364973087080e+05 5.21611892426061e+04 1.73034804556336e+04 2.24184478800295e+04 2.24818555088104e+04 3.92290845081985e-18 9.98235157444440e-18 3.31145489352788e-18 2.39739553213232e-18 2.40415295762653e-18
133 8.66217582253786e-14 1.14182969588001e+05 5.15458520076881e+04 1.77480310220739e+04 2.24071049458686e+04 2.24819816123708e+04 3.91666542863098e-18 9.86459136412348e-18 3.39653079212723e-18 2.39618253559375e-18 2.40416644282340e-18
140 9.11807981319775e-14 1.14226555402028e+05 5.15915630035362e+04 1.77507644684812e+04 2.24026357837376e+04 2.24815921462728e+04 3.91816091428388e-18 9.87333930944451e-18 3.39705390564215e-18 2.39570541038746e-18 2.40412479430061e-18
147 9.57398380385764e-14 1.20911537269919e+05 5.77178708792833e+04 1.83034247077906e+04 2.24089551284309e+04 2.24812865544146e+04 4.14591284340635e-18 1.10342172909734e-17 3.49915827313068e-18 2.39638279311914e-18 2.40409211507761e-18
154 1.00298877945175e-13 1.20863365273989e+05 5.71828416916359e+04 1.87805288603174e+04 2.24189415207974e+04 2.24810532012386e+04 4.14426152687585e-18 1.09319330551972e-17 3.59036868698008e-18 2.39745072416257e-18 2.40406796401991e-18
161 1.04857917851774e-13 1.27320766784952e+05 6.33064082110753e+04 1.91108647464246e+04 2.24224861031608e+04 2.24810077242915e+04 4.36439391569969e-18 1.20926757086187e-17 3.65052285258785e-18 2.39783057798537e-18 2.40406470711197e-18
168 1.09416957758373e-13 1.27275153396167e+05 6.32648262662437e+04 1.91132644888302e+04 2.24165784780993e+04 2.24804841629934e+04 4.36283034675868e-18 1.20847328006510e-17 3.65098124704609e-18 2.39719882448798e-18 2.40400871873039e-18
175 1.13975997664972e-13 1.27283646904353e+05 6.28459411073776e+04 1.95489907487383e+04 2.24077589131702e+04 2.24809561350669e+04 4.36312149341439e-18 1.20047181144848e-17 3.73421288990332e-18 2.39625567204831e-18 2.40405919028481e-18
182 1.18535037571571e-13 1.34167018222303e+05 6.92520551319450e+04 2.00282078284921e+04 2.24058163113864e+04 2.24809389504798e+04 4.59747560350552e-18 1.32155870865680e-17 3.82204577526286e-18 2.39604873329259e-18 2.40405815574679e-18
189 1.23094077478170e-13 1.34357915792096e+05 6.94263280871352e+04 2.00377869764666e+04 2.24126555997631e+04 2.24811451287313e+04 4.60401803981806e-18 1.32488441417090e-17 3.82387379414304e-18 2.39678091857653e-18 2.40408100710689e-18
196 1.27653117384769e-13 1.34215671549620e+05 6.87874181692244e+04 2.05259402742961e+04 2.24213998540842e+04 2.24809132520157e+04 4.59914427481120e-18 1.31269189563187e-17 3.91702962044697e-18 2.39771601802563e-18 2.40405701389439e-18
