#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00045485840090e+04 1.26800757923692e+04 1.23967616788296e+04 2.24684455218830e+04 2.24592655909272e+04 2.40428846364046e-18 2.43520398828399e-18 2.38079361483465e-18 2.40271330859641e-18 2.40173163221573e-18
7 4.55903990659888e-15 7.63572810339614e+04 1.88422511099335e+04 1.26037236973221e+04 2.24521346994820e+04 2.24591715272238e+04 2.62219066496197e-18 3.61756232383553e-18 2.41981468782295e-18 2.40097067865505e-18 2.40172157330392e-18
14 9.11807981319775e-15 7.63171968048095e+04 1.86034182844706e+04 1.28322657497626e+04 2.24225671575964e+04 2.24589456129799e+04 2.62081525435143e-18 3.57170832125118e-18 2.46369294384964e-18 2.39781200974450e-18 2.40169741466064e-18
21 1.36771197197966e-14 8.27736962287627e+04 2.48645506812474e+04 1.30420300477724e+04 2.24085981223807e+04 2.24585173773622e+04 2.84192988167808e-18 4.77093437532235e-18 2.50246506669562e-18 2.39632059849231e-18 2.40165242266409e-18
28 1.82361596263955e-14 8.27510644566609e+04 2.48292696098320e+04 1.30429429838976e+04 2.24202765007512e+04 2.24585753621802e+04 2.84115376271076e-18 4.76416475062364e-18 2.50264023810321e-18 2.39757105761731e-18 2.40165942573841e-18
35 2.27951995329944e-14 8.27369134155285e+04 2.44502642199713e+04 1.33886734069915e+04 2.24392878148625e+04 2.24586879737033e+04 2.84066912326329e-18 4.69144234891611e-18 2.56897794037175e-18 2.39960728895722e-18 2.40167146811071e-18
42 2.73542394395933e-14 8.91374788373044e+04 3.04531256856786e+04 1.37810711634091e+04 2.24450732388689e+04 2.24582087493478e+04 3.05944077485815e-18 5.83800393636158e-18 2.64189458020386e-18 2.40022677113211e-18 2.40162102347564e-18
49 3.19132793461921e-14 8.91201010633647e+04 3.04475731173916e+04 1.37800749250411e+04 2.24343467659143e+04 2.24581062550177e+04 3.05884563432378e-18 5.83693948354149e-18 2.64170359673722e-18 2.39908291162286e-18 2.40161006300498e-18
56 3.64723192527910e-14 8.90571858535272e+04 3.00629305257624e+04 1.41175397408508e+04 2.24188268971170e+04 2.24578886897970e+04 3.05668621223328e-18 5.76320173368945e-18 2.70639715047666e-18 2.39742324876703e-18 2.40158679715979e-18
63 4.10313591593898e-14 9.48908516604695e+04 3.54987988384645e+04 1.45190902026796e+04 2.24155693932838e+04 2.24573932260416e+04 3.25595384520295e-18 6.79968325335744e-18 2.78108605742946e-18 2.39707569881572e-18 2.40153381358552e-18
70 4.55903990659887e-14 9.49345397032560e+04 3.55280576454333e+04 1.45207619803896e+04 2.24282194486643e+04 2.24575006287688e+04 3.25745359482268e-18 6.80528768579653e-18 2.78140628119111e-18 2.39843007270380e-18 2.40154529894709e-18
77 5.01494389725875e-14 9.49601851555131e+04 3.51789534293244e+04 1.48856371329924e+04 2.24381506642073e+04 2.24574439289889e+04 3.25833390697276e-18 6.73841787133453e-18 2.85129696892985e-18 2.39949289915549e-18 2.40153923562365e-18
84 5.47084788791864e-14 1.01683774519106e+05 4.14418613465353e+04 1.53489055502875e+04 2.24352991261413e+04 2.24577084961417e+04 3.48772980797111e-18 7.92975415384176e-18 2.93695899724574e-18 2.39918876264804e-18 2.40156752773026e-18
91 5.92675187857853e-14 1.01628771310518e+05 4.10704623525695e+04 1.56787557631077e+04 2.24214974094552e+04 2.24580557853859e+04 3.48584358423483e-18 7.85868826492076e-18 3.00007467328608e-18 2.39771363400528e-18 2.40160466591699e-18
98 6.38265586923842e-14 1.01622889846037e+05 4.10728591709009e+04 1.56798799331030e+04 2.24122082822454e+04 2.24579424597882e+04 3.48564222484946e-18 7.85914688766359e-18 3.00028977925382e-18 2.39672107254481e-18 2.40159254717943e-18
105 6.83855985989831e-14 1.07947671298431e+05 4.68475299196660e+04 1.62274758593269e+04 2.24142690269509e+04 2.24583964924876e+04 3.70178787949504e-18 8.95875448498215e-18 3.10321531111625e-18 2.39694144486148e-18 2.40164190255808e-18
112 7.29446385055820e-14 1.07995201692091e+05 4.64165419186185e+04 1.66953172850127e+04 2.24247472272995e+04 2.24585952611600e+04 3.70341820890640e-18 8.87633571724821e-18 3.19268163896344e-18 2.39806276582280e-18 2.40166315835756e-18
119 7.75036784121809e-14 1.07969758146341e+05 4.63819020536731e+04 1.66978667595687e+04 2.24316414638002e+04 2.24583478692990e+04 3.70254687779111e-18 8.86971146094332e-18 3.19316918049768e-18 2.39880242743577e-18 2.40163670292207e-18
126 8.20627183187797e-14 1.14245287700768e+05 5.21884416227325e+04 1.71729500591611e+04 2.24254847935142e+04 2.24584112253598e+04 3.91691129888350e-18 9.97414986471517e-18 3.28205963204566e-18 2.39814484452618e-18 2.40164347805272e-18
133 8.66217582253786e-14 1.14155264112182e+05 5.16787294113885e+04 1.76029957300587e+04 2.24154293183235e+04 2.24581096524107e+04 3.91382608860528e-18 9.87673469335267e-18 3.36424909463227e-18 2.39707032918705e-18 2.40161283327746e-18
140 9.11807981319775e-14 1.14201638490224e+05 5.17275264058670e+04 1.76053675794626e+04 2.24108169521150e+04 2.24579275527794e+04 3.91541645875224e-18 9.88606067666895e-18 3.36470239771385e-18 2.39657709008692e-18 2.40159416232441e-18
147 9.57398380385764e-14 1.20805432028869e+05 5.78764742940837e+04 1.80536762365404e+04 2.24169085247419e+04 2.24583729735029e+04 4.14094123296068e-18 1.10546349395683e-17 3.44832339126288e-18 2.39722851316675e-18 2.40164179449381e-18
154 1.00298877945175e-13 1.20865976734713e+05 5.75129314475288e+04 1.84677427328731e+04 2.24268319151164e+04 2.24584706391952e+04 4.14301745798245e-18 1.09851968215321e-17 3.52741172574583e-18 2.39829050595635e-18 2.40165304095270e-18
161 1.04857917851774e-13 1.26896069906697e+05 6.31564997536987e+04 1.88515553311715e+04 2.24297663191170e+04 2.24582485027094e+04 4.34843605726572e-18 1.20532513404852e-17 3.59776959539888e-18 2.39860590920426e-18 2.40162928622892e-18
168 1.09416957758373e-13 1.26874717799403e+05 6.31335402530604e+04 1.88601096020582e+04 2.24233919970170e+04 2.24576759472670e+04 4.34770436972548e-18 1.20488695803667e-17 3.59940215542728e-18 2.39792424866270e-18 2.40156805857271e-18
175 1.13975997664972e-13 1.26801794077953e+05 6.26094264473514e+04 1.93190657260146e+04 2.24161232226475e+04 2.24571786819395e+04 4.34520590691397e-18 1.19488438434138e-17 3.68699272073529e-18 2.39714773756199e-18 2.40151488225428e-18
182 1.18535037571571e-13 1.33054063565047e+05 6.83747700987370e+04 1.98077064534964e+04 2.24145674617622e+04 2.24570195510509e+04 4.55787198827734e-18 1.30365140693161e-17 3.77658957374190e-18 2.39698216753068e-18 2.40149866747714e-18
189 1.23094077478170e-13 1.33026087713329e+05 6.83345100067147e+04 1.98129927197588e+04 2.24213755217575e+04 2.24572094650983e+04 4.55691462871943e-18 1.30288379739476e-17 3.77759746721494e-18 2.39771101287255e-18 2.40151977871217e-18
